,short_name,club_name,league_name,age,player_positions,overall,potential,wage_eur,pace,shooting,passing,dribbling,defending,physic,year
27,M. Reus,Borussia Dortmund,German 1. Bundesliga,25,"LM, RM, ST, CAM",86,88,180000.0,91.0,86.0,84.0,86.0,33.0,65.0,2015
28,T. Müller,FC Bayern München,German 1. Bundesliga,24,"RM, CAM, ST, LM",86,88,200000.0,81.0,84.0,82.0,80.0,46.0,72.0,2015
29,Neymar,FC Barcelona,Spain Primera Division,22,LW,86,91,210000.0,90.0,80.0,72.0,92.0,30.0,58.0,2015
30,T. Courtois,Chelsea,English Premier League,22,GK,86,90,170000.0,,,,,,,2015
31,J. Rodríguez,Real Madrid CF,Spain Primera Division,22,"CAM, RW",86,92,190000.0,79.0,80.0,84.0,85.0,40.0,72.0,2015
32,P. Čech,Chelsea,English Premier League,32,GK,85,85,170000.0,,,,,,,2015
33,C. Tévez,Juventus,Italian Serie A,30,"ST, CF",85,85,160000.0,86.0,86.0,78.0,87.0,46.0,84.0,2015
34,K. Benzema,Real Madrid CF,Spain Primera Division,26,ST,85,87,200000.0,84.0,84.0,75.0,82.0,30.0,74.0,2015
35,H. Lloris,Tottenham Hotspur,English Premier League,27,GK,85,86,160000.0,,,,,,,2015
36,Javi Martinez,FC Bayern München,German 1. Bundesliga,25,"CB, CDM, CM",85,86,160000.0,53.0,61.0,72.0,68.0,84.0,85.0,2015
37,Juan Mata,Manchester United,English Premier League,26,"CAM, RM",85,86,190000.0,74.0,75.0,84.0,87.0,31.0,60.0,2015
38,E. Cavani,Paris Saint-Germain,French Ligue 1,27,"ST, RW",85,87,200000.0,79.0,83.0,70.0,80.0,41.0,81.0,2015
39,Diego Costa,Chelsea,English Premier League,25,ST,85,87,170000.0,82.0,83.0,63.0,79.0,40.0,88.0,2015
40,A. Vidal,Juventus,Italian Serie A,27,"CM, CDM",85,87,190000.0,78.0,78.0,80.0,81.0,81.0,83.0,2015
41,T. Kroos,Real Madrid CF,Spain Primera Division,24,"CM, CDM, CAM",85,88,170000.0,58.0,81.0,89.0,84.0,58.0,69.0,2015
42,J. Boateng,FC Bayern München,German 1. Bundesliga,25,"CB, RB",85,86,170000.0,77.0,50.0,66.0,69.0,83.0,82.0,2015
43,Sergio Busquets,FC Barcelona,Spain Primera Division,25,"CDM, CM",85,89,170000.0,56.0,59.0,78.0,75.0,81.0,81.0,2015
44,M. Götze,FC Bayern München,German 1. Bundesliga,22,"CAM, CF, CM, RM",85,91,150000.0,80.0,74.0,82.0,89.0,35.0,63.0,2015
45,Casillas,Real Madrid CF,Spain Primera Division,33,GK,84,84,140000.0,,,,,,,2015
46,A. Pirlo,Juventus,Italian Serie A,35,"CM, CDM",84,84,140000.0,43.0,69.0,91.0,82.0,55.0,59.0,2015
47,Xabi Alonso,FC Bayern München,German 1. Bundesliga,32,"CDM, CM",84,84,170000.0,55.0,71.0,86.0,68.0,78.0,72.0,2015
48,D. De Rossi,Roma,Italian Serie A,30,CDM,84,84,130000.0,68.0,71.0,79.0,75.0,82.0,84.0,2015
49,G. Chiellini,Juventus,Italian Serie A,29,CB,84,84,150000.0,76.0,51.0,55.0,56.0,87.0,86.0,2015
51,A. Turan,Atlético de Madrid,Spain Primera Division,27,"LM, RM, CAM",84,88,180000.0,76.0,74.0,83.0,86.0,61.0,72.0,2015
52,Santi Cazorla,Arsenal,English Premier League,29,"LM, CAM, RM",84,84,150000.0,73.0,78.0,85.0,87.0,31.0,61.0,2015
53,K. Huntelaar,FC Schalke 04,German 1. Bundesliga,30,ST,84,84,160000.0,68.0,85.0,64.0,72.0,32.0,73.0,2015
54,Piqué,FC Barcelona,Spain Primera Division,27,CB,84,89,190000.0,66.0,54.0,69.0,60.0,86.0,76.0,2015
55,Cesc Fàbregas,Chelsea,English Premier League,27,"CM, CAM",84,84,180000.0,68.0,79.0,88.0,81.0,64.0,63.0,2015
56,S. Nasri,Manchester City,English Premier League,27,"LM, RM",84,86,180000.0,79.0,76.0,84.0,86.0,39.0,60.0,2015
57,G. Higuaín,Napoli,Italian Serie A,26,ST,84,85,170000.0,81.0,84.0,68.0,80.0,30.0,71.0,2015
58,S. Sirigu,Paris Saint-Germain,French Ligue 1,27,GK,84,85,180000.0,,,,,,,2015
59,M. Benatia,FC Bayern München,German 1. Bundesliga,27,CB,84,86,170000.0,75.0,45.0,54.0,64.0,88.0,84.0,2015
60,S. Khedira,Real Madrid CF,Spain Primera Division,27,"CDM, CM",84,86,180000.0,56.0,69.0,74.0,65.0,83.0,86.0,2015
61,D. Godín,Atlético de Madrid,Spain Primera Division,28,CB,84,84,180000.0,67.0,48.0,62.0,60.0,86.0,78.0,2015
62,A. Sánchez,Arsenal,English Premier League,25,"RW, ST",84,88,170000.0,88.0,81.0,75.0,87.0,39.0,66.0,2015
63,Oscar,Chelsea,English Premier League,22,"CAM, RM",84,87,150000.0,81.0,75.0,80.0,85.0,43.0,44.0,2015
64,R. Weidenfeller,Borussia Dortmund,German 1. Bundesliga,33,GK,83,83,100000.0,,,,,,,2015
65,J. Terry,Chelsea,English Premier League,33,CB,83,83,100000.0,41.0,47.0,56.0,52.0,84.0,80.0,2015
66,P. Mertesacker,Arsenal,English Premier League,29,CB,83,83,130000.0,31.0,41.0,57.0,48.0,87.0,76.0,2015
67,J. Toulalan,AS Monaco,French Ligue 1,30,"CDM, CM",83,83,90000.0,53.0,50.0,77.0,71.0,79.0,82.0,2015
68,Pepe,Real Madrid CF,Spain Primera Division,31,"CB, CDM",83,83,130000.0,73.0,51.0,58.0,59.0,84.0,83.0,2015
69,A. Barzagli,Juventus,Italian Serie A,33,CB,83,83,100000.0,75.0,36.0,58.0,59.0,86.0,79.0,2015
70,N. Vidić,Inter,Italian Serie A,32,CB,83,83,130000.0,52.0,39.0,55.0,51.0,84.0,83.0,2015
71,J. Mascherano,FC Barcelona,Spain Primera Division,30,CB,83,83,130000.0,69.0,59.0,70.0,69.0,84.0,80.0,2015
72,Negredo,Valencia CF,Spain Primera Division,28,ST,83,83,140000.0,73.0,83.0,68.0,77.0,39.0,82.0,2015
73,Dani Alves,FC Barcelona,Spain Primera Division,31,RB,83,83,140000.0,86.0,70.0,79.0,83.0,76.0,68.0,2015
74,Jesús Navas,Manchester City,English Premier League,28,RM,83,83,150000.0,91.0,71.0,78.0,84.0,29.0,53.0,2015
75,Diego López,AC Milan,Italian Serie A,32,GK,83,83,130000.0,,,,,,,2015
77,J. Farfán,FC Schalke 04,German 1. Bundesliga,29,RM,83,83,130000.0,87.0,77.0,80.0,84.0,37.0,76.0,2015
78,João Moutinho,AS Monaco,French Ligue 1,27,"CM, CAM",83,83,110000.0,74.0,75.0,83.0,82.0,71.0,72.0,2015
79,S. Handanovič,Inter,Italian Serie A,29,GK,83,83,120000.0,,,,,,,2015
80,S. Ruffier,AS Saint-Étienne,French Ligue 1,27,GK,83,84,130000.0,,,,,,,2015
81,Miranda,Atlético de Madrid,Spain Primera Division,29,CB,83,83,130000.0,76.0,49.0,56.0,57.0,84.0,79.0,2015
82,I. Rakitić,FC Barcelona,Spain Primera Division,26,"CAM, CM",83,84,160000.0,69.0,82.0,87.0,81.0,55.0,67.0,2015
84,B. Matuidi,Paris Saint-Germain,French Ligue 1,27,"CDM, CM",83,85,150000.0,78.0,67.0,76.0,76.0,84.0,82.0,2015
85,D. Sturridge,Liverpool,English Premier League,24,"ST, RW",83,86,120000.0,89.0,82.0,69.0,81.0,29.0,70.0,2015
86,C. Marchisio,Juventus,Italian Serie A,28,"CM, CDM, CAM",83,83,150000.0,79.0,76.0,81.0,83.0,74.0,79.0,2015
87,A. Candreva,Lazio,Italian Serie A,27,RW,83,84,130000.0,85.0,79.0,82.0,84.0,57.0,74.0,2015
88,C. Bravo,FC Barcelona,Spain Primera Division,31,GK,83,83,120000.0,,,,,,,2015
89,M. Pjanić,Roma,Italian Serie A,24,CM,83,86,110000.0,72.0,75.0,85.0,84.0,63.0,66.0,2015
90,E. Džeko,Manchester City,English Premier League,28,ST,83,83,160000.0,71.0,84.0,68.0,78.0,36.0,71.0,2015
91,M. Mandžukić,Atlético de Madrid,Spain Primera Division,28,ST,83,83,160000.0,75.0,82.0,61.0,75.0,43.0,87.0,2015
92,A. Ramsey,Arsenal,English Premier League,23,"CM, CDM",83,86,130000.0,71.0,78.0,79.0,80.0,70.0,77.0,2015
93,İ. Gündoğan,Borussia Dortmund,German 1. Bundesliga,23,"CM, CDM, CAM",83,87,130000.0,79.0,70.0,83.0,86.0,67.0,70.0,2015
94,S. Kagawa,Borussia Dortmund,German 1. Bundesliga,25,"CAM, LM, CM",83,83,140000.0,82.0,73.0,76.0,88.0,32.0,49.0,2015
96,Pedro,FC Barcelona,Spain Primera Division,26,"LW, RW",83,86,160000.0,83.0,76.0,78.0,84.0,37.0,60.0,2015
97,De Gea,Manchester United,English Premier League,23,GK,83,87,130000.0,,,,,,,2015
98,J. Cuadrado,Fiorentina,Italian Serie A,26,"RM, LM",83,87,130000.0,93.0,77.0,76.0,87.0,57.0,71.0,2015
99,P. Pogba,Juventus,Italian Serie A,21,"CM, CAM",83,89,120000.0,76.0,78.0,79.0,83.0,73.0,88.0,2015
100,Isco,Real Madrid CF,Spain Primera Division,22,"CAM, CM, LM, CDM",83,88,120000.0,76.0,76.0,82.0,86.0,32.0,62.0,2015
101,G. Buffon,Juventus,Italian Serie A,36,GK,82,82,110000.0,,,,,,,2015
102,S. Gerrard,Liverpool,English Premier League,34,"CDM, CM",82,82,100000.0,63.0,83.0,85.0,75.0,70.0,81.0,2015
103,T. Howard,Everton,English Premier League,35,GK,82,82,60000.0,,,,,,,2015
106,T. Motta,Paris Saint-Germain,French Ligue 1,31,"CDM, CM",82,82,130000.0,50.0,66.0,78.0,73.0,79.0,84.0,2015
107,R. Adler,Hamburger SV,German 1. Bundesliga,29,GK,82,82,80000.0,,,,,,,2015
108,Alex,AC Milan,Italian Serie A,32,CB,82,82,130000.0,54.0,64.0,53.0,55.0,84.0,83.0,2015
110,P. Zabaleta,Manchester City,English Premier League,29,RB,82,82,130000.0,74.0,52.0,74.0,75.0,83.0,82.0,2015
111,Gabi,Atlético de Madrid,Spain Primera Division,30,"CM, CDM",82,82,130000.0,68.0,72.0,80.0,76.0,75.0,73.0,2015
112,M. Gomez,Fiorentina,Italian Serie A,28,ST,82,82,140000.0,75.0,82.0,60.0,70.0,30.0,79.0,2015
113,J. Hart,Manchester City,English Premier League,27,GK,82,83,150000.0,,,,,,,2015
114,R. Palacio,Inter,Italian Serie A,32,ST,82,82,130000.0,85.0,82.0,77.0,84.0,31.0,60.0,2015
115,Dante,FC Bayern München,German 1. Bundesliga,30,CB,82,82,130000.0,64.0,56.0,72.0,71.0,83.0,76.0,2015
116,E. Lavezzi,Paris Saint-Germain,French Ligue 1,29,"LW, ST",82,82,140000.0,87.0,76.0,75.0,85.0,32.0,73.0,2015
117,Borja Valero,Fiorentina,Italian Serie A,29,CM,82,82,100000.0,71.0,74.0,85.0,81.0,65.0,67.0,2015
118,G. Rossi,Fiorentina,Italian Serie A,27,ST,82,84,140000.0,83.0,83.0,74.0,84.0,29.0,52.0,2015
119,L. Baines,Everton,English Premier League,29,LB,82,82,90000.0,77.0,74.0,81.0,77.0,80.0,74.0,2015
120,S. Mandanda,Olympique de Marseille,French Ligue 1,29,GK,82,82,130000.0,,,,,,,2015
121,Filipe Luís,Chelsea,English Premier League,28,LB,82,82,140000.0,82.0,62.0,76.0,78.0,81.0,77.0,2015
122,J. Błaszczykowski,Borussia Dortmund,German 1. Bundesliga,28,RM,82,82,150000.0,87.0,74.0,79.0,83.0,58.0,72.0,2015
123,C. Vela,Real Sociedad,Spain Primera Division,25,"RW, CAM, ST",82,87,120000.0,86.0,77.0,74.0,85.0,30.0,65.0,2015
124,M. Hamšik,Napoli,Italian Serie A,26,CAM,82,86,140000.0,73.0,77.0,81.0,81.0,58.0,70.0,2015
125,A. Begović,Stoke City,English Premier League,27,GK,82,84,100000.0,,,,,,,2015
126,J. Vertonghen,Tottenham Hotspur,English Premier League,27,"CB, LB",82,84,130000.0,72.0,67.0,74.0,69.0,82.0,81.0,2015
127,Sokratis,Borussia Dortmund,German 1. Bundesliga,26,"CB, RB",82,84,140000.0,78.0,52.0,61.0,65.0,84.0,82.0,2015
128,S. Mignolet,Liverpool,English Premier League,26,GK,82,83,130000.0,,,,,,,2015
129,Ł. Piszczek,Borussia Dortmund,German 1. Bundesliga,29,RB,82,82,120000.0,81.0,67.0,73.0,74.0,81.0,82.0,2015
130,D. Mertens,Napoli,Italian Serie A,27,CAM,82,85,130000.0,88.0,77.0,80.0,87.0,37.0,53.0,2015
131,Marcelo,Real Madrid CF,Spain Primera Division,26,LB,82,85,150000.0,81.0,67.0,78.0,84.0,77.0,79.0,2015
132,B. Höwedes,FC Schalke 04,German 1. Bundesliga,26,"CB, RB, LB",82,84,140000.0,66.0,50.0,65.0,65.0,83.0,78.0,2015
133,David Luiz,Paris Saint-Germain,French Ligue 1,27,CB,82,83,160000.0,77.0,64.0,72.0,72.0,80.0,78.0,2015
134,Willian,Chelsea,English Premier League,25,"RM, CAM",82,84,120000.0,89.0,73.0,78.0,87.0,51.0,63.0,2015
135,Hernanes,Inter,Italian Serie A,29,"CM, CAM",82,82,130000.0,71.0,81.0,83.0,85.0,63.0,73.0,2015
137,N. Subotić,Borussia Dortmund,German 1. Bundesliga,25,CB,82,84,130000.0,71.0,57.0,58.0,57.0,83.0,79.0,2015
139,Luiz Gustavo,VfL Wolfsburg,German 1. Bundesliga,26,CDM,82,83,130000.0,72.0,58.0,72.0,72.0,83.0,82.0,2015
140,M. Balotelli,Liverpool,English Premier League,23,ST,82,86,130000.0,82.0,82.0,68.0,81.0,30.0,79.0,2015
142,C. Eriksen,Tottenham Hotspur,English Premier League,22,"CAM, LM",82,88,110000.0,81.0,72.0,83.0,83.0,47.0,55.0,2015
143,N. Matić,Chelsea,English Premier League,25,"CDM, CM",82,85,120000.0,67.0,70.0,76.0,75.0,80.0,85.0,2015
144,M. ter Stegen,FC Barcelona,Spain Primera Division,22,GK,82,88,110000.0,,,,,,,2015
145,B. Leno,Bayer 04 Leverkusen,German 1. Bundesliga,22,GK,82,85,100000.0,,,,,,,2015
146,Koke,Atlético de Madrid,Spain Primera Division,22,"LM, RM, CM",82,85,110000.0,75.0,72.0,85.0,81.0,53.0,73.0,2015
147,A. Griezmann,Atlético de Madrid,Spain Primera Division,23,"LW, LM",82,88,130000.0,85.0,77.0,76.0,83.0,30.0,68.0,2015
149,D. Alaba,FC Bayern München,German 1. Bundesliga,22,"LB, CM, CDM, LM",82,87,120000.0,86.0,70.0,81.0,82.0,79.0,72.0,2015
150,Lucas,Paris Saint-Germain,French Ligue 1,21,"RW, RM",82,87,120000.0,93.0,73.0,76.0,87.0,44.0,63.0,2015
152,S. Eto'o,Everton,English Premier League,33,ST,81,81,50000.0,76.0,81.0,71.0,82.0,37.0,72.0,2015
153,M. Klose,Lazio,Italian Serie A,36,ST,81,81,80000.0,70.0,77.0,63.0,73.0,32.0,63.0,2015
154,José Reina,FC Bayern München,German 1. Bundesliga,31,GK,81,81,100000.0,,,,,,,2015
155,D. Berbatov,AS Monaco,French Ligue 1,33,"ST, CAM",81,81,50000.0,64.0,82.0,80.0,80.0,32.0,62.0,2015
156,D. Drogba,Chelsea,English Premier League,36,ST,81,81,90000.0,67.0,83.0,75.0,75.0,36.0,78.0,2015
157,A. Cole,Roma,Italian Serie A,33,LB,81,81,70000.0,73.0,55.0,71.0,74.0,80.0,75.0,2015
158,R. van der Vaart,Hamburger SV,German 1. Bundesliga,31,"CAM, CF, CM",81,81,70000.0,53.0,78.0,81.0,81.0,37.0,63.0,2015
159,Fernando Torres,AC Milan,Italian Serie A,30,ST,81,81,110000.0,78.0,79.0,71.0,80.0,32.0,70.0,2015
160,N. de Jong,AC Milan,Italian Serie A,29,"CDM, CM",81,81,100000.0,71.0,51.0,72.0,72.0,78.0,82.0,2015
161,C. Carrasso,FC Girondins de Bordeaux,French Ligue 1,32,GK,81,81,90000.0,,,,,,,2015
163,Fernandinho,Manchester City,English Premier League,29,"CM, CDM",81,81,100000.0,78.0,74.0,80.0,81.0,73.0,76.0,2015
164,S. Kießling,Bayer 04 Leverkusen,German 1. Bundesliga,30,ST,81,81,90000.0,66.0,83.0,71.0,69.0,45.0,80.0,2015
167,Soldado,Tottenham Hotspur,English Premier League,29,ST,81,81,90000.0,76.0,81.0,68.0,76.0,42.0,75.0,2015
171,R. Montolivo,AC Milan,Italian Serie A,29,"CM, CDM",81,81,100000.0,60.0,71.0,83.0,76.0,68.0,73.0,2015
172,Llorente,Juventus,Italian Serie A,29,ST,81,81,110000.0,61.0,79.0,57.0,74.0,35.0,85.0,2015
174,G. Cahill,Chelsea,English Premier League,28,CB,81,81,110000.0,74.0,58.0,52.0,62.0,84.0,76.0,2015
175,T. Walcott,Arsenal,English Premier League,25,RM,81,85,110000.0,96.0,77.0,75.0,81.0,33.0,64.0,2015
176,L. Koscielny,Arsenal,English Premier League,28,CB,81,81,120000.0,81.0,40.0,62.0,65.0,83.0,75.0,2015
177,Diego Alves,Valencia CF,Spain Primera Division,29,GK,81,81,80000.0,,,,,,,2015
178,M. Škrtel,Liverpool,English Premier League,29,CB,81,81,90000.0,63.0,38.0,48.0,54.0,82.0,82.0,2015
179,Y. Cabaye,Paris Saint-Germain,French Ligue 1,28,"CM, CAM, CDM",81,81,120000.0,68.0,75.0,82.0,78.0,71.0,73.0,2015
180,G. dos Santos,Villarreal CF,Spain Primera Division,25,"ST, CF, LW, RW",81,84,80000.0,86.0,81.0,69.0,88.0,29.0,55.0,2015
181,Gervinho,Roma,Italian Serie A,27,"LW, RW",81,83,110000.0,93.0,69.0,72.0,83.0,40.0,64.0,2015
182,N. Şahin,Borussia Dortmund,German 1. Bundesliga,25,"CM, CDM",81,84,110000.0,55.0,69.0,84.0,82.0,67.0,59.0,2015
183,Leandro Castán,Roma,Italian Serie A,27,CB,81,84,100000.0,71.0,39.0,50.0,57.0,84.0,81.0,2015
185,L. Bender,Bayer 04 Leverkusen,German 1. Bundesliga,25,"CM, CDM",81,84,90000.0,68.0,65.0,75.0,73.0,81.0,81.0,2015
186,S. Bender,Borussia Dortmund,German 1. Bundesliga,25,CDM,81,83,100000.0,66.0,56.0,68.0,66.0,85.0,82.0,2015
187,J. Hernández,Real Madrid CF,Spain Primera Division,26,ST,81,83,130000.0,86.0,80.0,64.0,76.0,31.0,63.0,2015
188,B. Ivanović,Chelsea,English Premier League,30,"RB, CB",81,81,100000.0,67.0,60.0,63.0,60.0,86.0,83.0,2015
189,S. Jovetić,Manchester City,English Premier League,24,"ST, CF",81,84,110000.0,78.0,82.0,78.0,83.0,38.0,70.0,2015
190,Beto,Sevilla FC,Spain Primera Division,32,GK,81,81,80000.0,,,,,,,2015
191,M. Sakho,Liverpool,English Premier League,24,CB,81,83,90000.0,68.0,33.0,60.0,57.0,80.0,83.0,2015
192,S. Feghouli,Valencia CF,Spain Primera Division,24,"RM, RW",81,88,90000.0,84.0,73.0,75.0,86.0,41.0,63.0,2015
193,Ramires,Chelsea,English Premier League,27,"CDM, CM",81,82,120000.0,88.0,69.0,77.0,82.0,79.0,73.0,2015
194,Coutinho,Liverpool,English Premier League,22,"CAM, LW, CM",81,86,80000.0,81.0,68.0,81.0,87.0,33.0,50.0,2015
195,Jordi Alba,FC Barcelona,Spain Primera Division,25,LB,81,85,110000.0,92.0,69.0,75.0,81.0,78.0,76.0,2015
196,J. Wilshere,Arsenal,English Premier League,22,"CM, CDM, LM",81,85,100000.0,76.0,69.0,81.0,84.0,61.0,77.0,2015
197,Thiago,FC Bayern München,German 1. Bundesliga,23,"CM, CAM, CDM",81,86,110000.0,72.0,72.0,79.0,87.0,57.0,65.0,2015
198,Iturraspe,Athletic Club de Bilbao,Spain Primera Division,25,"CDM, CM",81,84,70000.0,67.0,66.0,77.0,72.0,77.0,80.0,2015
199,K. Strootman,Roma,Italian Serie A,24,CM,81,85,90000.0,67.0,72.0,79.0,76.0,75.0,83.0,2015
200,W. Bony,Swansea City,English Premier League,25,ST,81,84,70000.0,73.0,82.0,59.0,74.0,39.0,85.0,2015
201,H. Mkhitaryan,Borussia Dortmund,German 1. Bundesliga,25,"CAM, LM, RM",81,85,110000.0,86.0,75.0,77.0,85.0,54.0,71.0,2015
202,K. De Bruyne,VfL Wolfsburg,German 1. Bundesliga,23,"CAM, LM, RM",81,86,90000.0,77.0,80.0,80.0,82.0,41.0,69.0,2015
203,A. Schürrle,Chelsea,English Premier League,23,"LM, RM",81,84,110000.0,88.0,83.0,75.0,83.0,37.0,67.0,2015
204,R. Varane,Real Madrid CF,Spain Primera Division,21,CB,81,88,100000.0,76.0,45.0,60.0,62.0,83.0,76.0,2015
205,Roberto Firmino,TSG Hoffenheim,German 1. Bundesliga,22,"CAM, CF",81,85,60000.0,77.0,77.0,77.0,85.0,33.0,67.0,2015
206,C. Bacca,Sevilla FC,Spain Primera Division,27,ST,81,81,110000.0,81.0,82.0,63.0,80.0,31.0,69.0,2015
207,A. Laporte,Athletic Club de Bilbao,Spain Primera Division,20,"CB, LB",81,88,50000.0,67.0,29.0,56.0,55.0,83.0,80.0,2015
208,F. Totti,Roma,Italian Serie A,37,"CF, ST",80,80,70000.0,40.0,84.0,87.0,81.0,26.0,68.0,2015
209,Tiago,Atlético de Madrid,Spain Primera Division,33,"CM, CDM",80,80,80000.0,63.0,67.0,78.0,73.0,69.0,77.0,2015
210,G. Barry,Everton,English Premier League,33,CDM,80,80,40000.0,48.0,68.0,81.0,69.0,80.0,78.0,2015
211,A. Cassano,Parma,Italian Serie A,31,CF,80,80,70000.0,54.0,78.0,87.0,85.0,28.0,60.0,2015
212,T. Rosický,Arsenal,English Premier League,33,"CAM, RM",80,80,80000.0,74.0,70.0,81.0,84.0,43.0,67.0,2015
215,Mikel Arteta,Arsenal,English Premier League,32,CDM,80,80,100000.0,43.0,72.0,83.0,79.0,74.0,66.0,2015
217,P. Evra,Juventus,Italian Serie A,33,"LB, LM",80,80,80000.0,79.0,51.0,71.0,77.0,79.0,78.0,2015
218,E. Adebayor,Tottenham Hotspur,English Premier League,30,ST,80,80,90000.0,73.0,79.0,67.0,77.0,31.0,77.0,2015
219,Iraola,Athletic Club de Bilbao,Spain Primera Division,32,RB,80,80,60000.0,78.0,63.0,75.0,77.0,79.0,79.0,2015
220,Aduriz,Athletic Club de Bilbao,Spain Primera Division,33,ST,80,80,45000.0,67.0,81.0,64.0,71.0,46.0,78.0,2015
221,J. Mathieu,FC Barcelona,Spain Primera Division,30,"CB, LB, LM",80,80,90000.0,76.0,64.0,66.0,55.0,82.0,81.0,2015
223,D. Benaglio,VfL Wolfsburg,German 1. Bundesliga,30,GK,80,80,80000.0,,,,,,,2015
225,V. Enyeama,LOSC Lille,French Ligue 1,31,GK,80,80,80000.0,,,,,,,2015
226,G. Ochoa,Málaga CF,Spain Primera Division,28,GK,80,80,80000.0,,,,,,,2015
227,Raffael,Borussia Mönchengladbach,German 1. Bundesliga,29,"CF, ST, CAM",80,80,60000.0,74.0,79.0,78.0,85.0,41.0,68.0,2015
229,R. Mavuba,LOSC Lille,French Ligue 1,30,CDM,80,80,80000.0,66.0,52.0,75.0,73.0,78.0,77.0,2015
230,G. Clichy,Manchester City,English Premier League,28,LB,80,80,110000.0,85.0,42.0,70.0,78.0,80.0,68.0,2015
231,Raúl Albiol,Napoli,Italian Serie A,28,CB,80,80,90000.0,61.0,46.0,60.0,59.0,83.0,76.0,2015
232,A. Song,West Ham United,English Premier League,26,"CDM, CM",80,80,80000.0,71.0,59.0,70.0,70.0,78.0,83.0,2015
233,M. Debuchy,Arsenal,English Premier League,28,RB,80,80,110000.0,76.0,65.0,73.0,74.0,78.0,78.0,2015
234,L. Perrin,AS Saint-Étienne,French Ligue 1,28,CB,80,80,90000.0,71.0,64.0,69.0,67.0,83.0,76.0,2015
